topic,slope,total_papers,z_total_papers
0,-0.007692507979170129,1487,2.945410123658408
1,-0.0008192234178102814,920,1.4798471814307035
2,0.006276240006582461,808,1.190353266916589
3,0.0004574981045178191,762,1.0714539805982919
4,-2.5354713812029946e-05,570,0.5751786985740959
5,-0.0017512089742862805,455,0.2779304827783533
6,0.0017315830939076686,308,-0.10203028002142187
7,-0.003488694527172273,299,-0.12529318386630606
8,0.001496323367001186,220,-0.3294897842825118
9,0.00038432706805289823,201,-0.3786003590661562
10,0.0004697767758775529,98,-0.6448313697353865
11,0.0009898862764672741,96,-0.6500009039231385
12,0.00048209205426199566,85,-0.6784333419557748
13,-0.0003003050555949594,73,-0.7094505470822869
14,0.0005098537195137308,67,-0.7249591496455431
15,0.0004322222198854647,46,-0.7792392586169395
16,0.0002852918108874974,39,-0.7973326282740717
17,0.0002437588027909276,37,-0.8025021624618237
18,0.000318441368099479,31,-0.8180107650250799
