topic,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,cluster,trajectory_label
0,0.3055555555555556,0.2314814814814814,0.1525341130604288,0.1869256474519632,0.281954887218045,0.3707061772077252,0.5029813094828576,0.515309427074133,0.5388388388388389,0.5119028119028118,0.4866577866577866,0.3732378732378732,0.3238110204402339,0.2813366408872026,0.253730913281475,0.2205929878621622,0.2481686219464998,0.2667731206021493,0.2256978998577658,0.2674586721884863,0.3025896466927704,0.3370989015937846,0.2708861839287848,0.2137319073500477,0.1744580698807877,0.157416593180482,0.1508406294616612,0.1424298299898152,0.1302190764311563,0.1098927797233615,0.1049107259356683,2,Legacy Topic
1,0.1666666666666666,0.25,0.337719298245614,0.2980367585630744,0.2468671679197994,0.1591478696741854,0.1062378167641325,0.0365365365365365,0.0532032032032032,0.0498361998361998,0.0501332001332001,0.0464535464535464,0.0612645781185106,0.0654214699158519,0.0678190723134543,0.0487260907143662,0.0435253377695369,0.1014570054198746,0.1428582199796898,0.1512280884531852,0.1246743953462897,0.0990076844266731,0.1176266864481648,0.1383854640414747,0.1794897285172181,0.2154766144349477,0.2044178319475938,0.1867989440525431,0.1520893710916041,0.1491129369649448,0.1485352372899933,3,Emerging or Growing
2,0.0,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0111111111111111,0.0313131313131313,0.0459651459651459,0.0781440781440781,0.0766686497023575,0.0957245002188822,0.0857677902621723,0.0960267057482494,0.0847713448974994,0.0650782502683434,0.0558013976920608,0.0557339157592939,0.0624773701006801,0.0787624556496782,0.1020205867916268,0.1295001416093111,0.1597266394854569,0.1706678480984036,0.1792671852691694,0.1720809364404787,0.1743915348348658,0.1981581761618837,0.2086862803430045,3,Emerging or Growing
3,0.1111111111111111,0.074074074074074,0.0916179337231968,0.0651629072681704,0.100250626566416,0.1611381394663128,0.1814203264151664,0.2184046791889929,0.1510844177510844,0.1286377286377286,0.0748806748806748,0.107059607059607,0.1140395185339005,0.1444136387956612,0.1524056467876692,0.1380146681196999,0.1497745796292766,0.1445283339738238,0.1227659182665103,0.0712708771341635,0.0444197237857425,0.0594375657705275,0.0850617034278602,0.1043385896112212,0.1094980184062134,0.1078416824944602,0.1135978311077517,0.1331919724315442,0.1543078059335343,0.1798131370057913,0.1856409935229983,3,Emerging or Growing
4,0.0555555555555555,0.0648148148148148,0.134990253411306,0.1217627401837928,0.093984962406015,0.0238095238095238,0.0123456790123456,0.0213546880213546,0.0269102435769102,0.0246655746655746,0.0193195693195693,0.0137640137640137,0.0148989587191834,0.0262172284644194,0.0339095361567271,0.0317315521150401,0.0305672044408246,0.044187769723794,0.1336730720597725,0.2195712460408481,0.2210401476459067,0.1491009431530254,0.0673664796758233,0.0608240213348038,0.0431485239057853,0.0292831140053362,0.0239281515075165,0.0215589122196726,0.0301941412556302,0.0345915449162349,0.0420483191632611,0,Stable Niche
5,0.25,0.1944444444444444,0.0277777777777777,0.0992063492063492,0.0889724310776942,0.0889724310776942,0.0237166991552956,0.0331998665331998,0.0443109776443109,0.0431886431886431,0.0527916527916527,0.0979575979575979,0.1228696397235723,0.116202149910015,0.1137712474791126,0.1399681209524883,0.120368268436527,0.0989176815127943,0.0607531198347644,0.0589374340812548,0.0589159678782581,0.0675251781240229,0.0838744351371804,0.074577257494679,0.0755029505418509,0.0783844627594627,0.0859197845804988,0.0768754132541508,0.0660982426409146,0.043126876444006,0.0369622287983883,0,Stable Niche
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0123456790123456,0.0213546880213546,0.0213546880213546,0.009009009009009,0.0329670329670329,0.0372960372960372,0.048531992352217,0.0268009144413638,0.0532411408815903,0.0583095336514975,0.0764345457801191,0.0567480089580324,0.0747195822973267,0.0612316309855412,0.0753287931535051,0.0676569408457137,0.0822126939906785,0.072417453260186,0.0592062415454531,0.0431807647085424,0.0407213193919543,0.0338877943898246,0.029199134874207,0.0191392943190738,0.0188699432675194,1,Marginal Topic
7,0.1111111111111111,0.1574074074074074,0.2100389863547758,0.1597744360902255,0.1115288220551378,0.0588972431077694,0.0350877192982456,0.027027027027027,0.0603603603603603,0.0603603603603603,0.0919413919413919,0.0845820845820845,0.0995633579903242,0.0784084829028649,0.1037165082108902,0.1159091478461287,0.1129982786605899,0.0941117943009598,0.0840758418401722,0.0511615291331134,0.0271592475823949,0.0225408488150407,0.0278284765093074,0.0245633962658099,0.0172521677838067,0.0185669911364355,0.0209217792055093,0.0347951393724741,0.0429581293205278,0.0498017836877188,0.0460801352811311,0,Stable Niche
8,0.0,0.0,0.0,0.0,0.0175438596491228,0.0567595459236326,0.0567595459236326,0.0392156862745098,0.0,0.0,0.0036630036630036,0.0079920079920079,0.0117373263440679,0.0080743226810642,0.0063094209161624,0.0061872909698996,0.0130957538369117,0.0139417109488535,0.014603012688729,0.0093225514497186,0.0215000217496934,0.0344299291001084,0.0507825637100044,0.0531437516827032,0.0537864970437584,0.0635836385836385,0.0612811791383219,0.0642946385471302,0.0474458225179863,0.0403955525532669,0.0292874254309737,1,Marginal Topic
9,0.0,0.0,0.0175438596491228,0.0175438596491228,0.0175438596491228,0.0,0.0,0.027027027027027,0.0548048048048048,0.0952088452088452,0.0864968364968365,0.0846930846930846,0.0592703176972839,0.0596818911425653,0.0439642754249495,0.0398525672341011,0.0366700169245787,0.0349387558582793,0.0266398847282916,0.0123168444985156,0.0097868991453352,0.0259955477809363,0.0372226793400181,0.0423385866141987,0.029511624843575,0.0263227513227513,0.0260959939531368,0.0308770655946735,0.0404399071247282,0.0371964320842822,0.0396944692355467,1,Marginal Topic
